year,importer_name,export_value,exporter_name,import_value
2019,Guinea-Bissau,1179612.0,Guinea-Bissau,1868009.0
2019,Guyana,834174720.0,Guyana,144783321.0
2019,Haiti,973162302.0,Haiti,1084569543.0
2019,Honduras,5292158498.0,Honduras,4405443992.0
2019,Hong Kong,28290854090.0,Hong Kong,3033512715.0
2019,Hungary,2312999881.0,Hungary,4112695980.0
2019,Iceland,451392996.0,Iceland,434062986.0
2019,India,34582894372.0,India,55840386253.0
2019,Indonesia,8785781372.0,Indonesia,19985383445.0
2019,Iran,133548844.0,Iran,1564687.0
2019,Iraq,1209440217.0,Iraq,7215053126.0
2019,Ireland,17071483679.0,Ireland,51420996179.0
2019,Israel,13175306432.0,Israel,18514825223.0
2019,Italy,19016684763.0,Italy,52142305962.0
2019,Jamaica,2731660620.0,Jamaica,493639373.0
2019,Japan,71958226204.0,Japan,138402177976.0
2019,Jordan,1390222076.0,Jordan,2240994089.0
2019,Kazakhstan,1111988419.0,Kazakhstan,1210066646.0
2019,Kenya,461439930.0,Kenya,535615028.0
2019,Kiribati,1357410.0,Kiribati,2898003.0
2019,Kuwait,3304993915.0,Kuwait,1321304226.0
2019,Kyrgyzstan,62186935.0,Kyrgyzstan,5812027.0
2019,Laos,58282617.0,Laos,149341700.0
2019,Latvia,254647324.0,Latvia,647210053.0
2019,Lebanon,1643135670.0,Lebanon,92332504.0
2019,Lesotho,1138400.0,Lesotho,332209708.0
2019,Liberia,107284141.0,Liberia,71448709.0
2019,Libya,426496697.99999994,Libya,833218121.0
2019,Lithuania,839589466.0,Lithuania,1156754406.0
2019,Luxembourg,1124962054.0,Luxembourg,598889746.0
2019,Macau,301614811.0,Macau,55191280.0
2019,Madagascar,65376120.0,Madagascar,687425085.0
2019,Malawi,40716632.0,Malawi,94664344.0
2019,Malaysia,14226389721.0,Malaysia,35829247721.0
2019,Maldives,50839030.0,Maldives,30075631.0
2019,Mali,135068214.0,Mali,14796239.0
2019,Malta,184358643.0,Malta,174636313.0
2019,Marshall Islands,88303608.0,Marshall Islands,9691432.0
2019,Mauritania,89060026.0,Mauritania,3511581.0
2019,Mauritius,123592728.0,Mauritius,315832000.0
2019,Mexico,244876240251.0,Mexico,352255843771.0
2019,Micronesia,38204673.0,Micronesia,1595803.0
2019,Moldova,18714365.0,Moldova,66756505.0
2019,Mongolia,284941788.0,Mongolia,28128668.0
2019,Montenegro,35457990.0,Montenegro,3504536.0
2019,Montserrat,11313270.0,Montserrat,1255230.0
2019,Morocco,3778089154.0,Morocco,1541593558.0
2019,Mozambique,229996726.0,Mozambique,147799382.0
2019,Namibia,182616179.0,Namibia,134438873.0
2019,Nauru,1166496.0,Nauru,4079710.0
2019,Nepal,163661680.0,Nepal,106369290.0
2019,Netherlands,47685278980.0,Netherlands,22773457501.0
2019,New Caledonia,59373562.0,New Caledonia,43230769.0
2019,New Zealand,3898924915.0,New Zealand,3875055277.0
2019,Nicaragua,1814650640.0,Nicaragua,3304812486.0
2019,Niger,131913757.0,Niger,11424192.0
2019,Nigeria,3028628209.0,Nigeria,4676881644.0
2019,Niue,239877.0,Niue,339136.0
2019,Norfolk Island,11710.0,Norfolk Island,78091.0
2019,North Macedonia,296064292.0,North Macedonia,229247744.0
2019,Norway,5629631422.0,Norway,5043783391.0
2019,Oman,1085983542.0,Oman,1074038354.0
2019,Pakistan,3062865377.0,Pakistan,4048243068.0
2019,Palau,16886263.0,Palau,1597578.0
2019,Palestine,3324555.0,Palestine,4427305.0
2019,Panama,7302061593.0,Panama,1246038502.0
2019,Papua New Guinea,138085251.0,Papua New Guinea,77311658.0
2019,Paraguay,1315039236.0,Paraguay,190390350.0
2019,Peru,8951164480.0,Peru,5786371358.0
2019,Philippines,8232911853.0,Philippines,13247620490.0
2019,Pitcairn Islands,3372.0,Pitcairn Islands,12288.0
2019,Poland,6640863388.0,Poland,7821764008.0
2019,Portugal,1693084467.0,Portugal,3759170784.0
2019,Qatar,3572219842.0,Qatar,1645762889.0
2019,Republic of the Congo,110850162.0,Republic of the Congo,241004366.0
2019,Romania,1009084030.0,Romania,2217596773.0
2019,Russia,9815061630.0,Russia,19889864374.000004
2019,Rwanda,17499298.0,Rwanda,46392261.0
2019,Saint Helena,560061.0,Saint Helena,11177227.0
2019,Saint Kitts and Nevis,185171036.0,Saint Kitts and Nevis,42334685.0
2019,Saint Lucia,743826106.0,Saint Lucia,11763571.0
2019,Saint Martin,651863366.0,Saint Martin,6739549.0
2019,Saint Pierre and Miquelon,72789.0,Saint Pierre and Miquelon,29204.0
2019,Saint Vincent and the Grenadines,71978325.0,Saint Vincent and the Grenadines,4879562.0
2019,Samoa,49439549.0,Samoa,7633819.000000001
2019,San Marino,726689.0,San Marino,12068747.0
2019,Sao Tome and Principe,2616471.0,Sao Tome and Principe,989914.0
2019,Saudi Arabia,12457486277.0,Saudi Arabia,13601727536.0
2019,Senegal,235145611.0,Senegal,149372359.0
2019,Serbia,452994932.0,Serbia,373002126.0
2019,Seychelles,22976302.0,Seychelles,14176302.0
2019,Sierra Leone,73925292.0,Sierra Leone,27407859.0
2019,Singapore,30448952537.0,Singapore,24087912840.0
2019,Slovakia,726572189.0,Slovakia,3322495430.0000005
2019,Slovenia,677187906.0,Slovenia,813801061.0
2019,Solomon Islands,11010429.0,Solomon Islands,5261466.0
2019,Somalia,102243071.0,Somalia,1067518.0
2019,South Africa,5550657658.0,South Africa,6975430285.0
2019,South Korea,59658661271.0,South Korea,75871641746.0
2019,South Sudan,21783654.0,South Sudan,70376259.0
2019,Spain,16160664065.0,Spain,16951053665.0
2019,Sri Lanka,531235380.0,Sri Lanka,3155842559.0
2019,Sudan,73368521.0,Sudan,22712453.999999996
2019,Suriname,348244644.0,Suriname,80525573.0
2019,Sweden,4651642095.0,Sweden,12560048265.0
2019,Switzerland,18062079290.0,Switzerland,35344577120.0
2019,Syria,4045607.0,Syria,5970502.0
2019,Tajikistan,10791373.0,Tajikistan,2117716.0
2019,Tanzania,255675773.0,Tanzania,129681658.0
2019,Thailand,12844522523.0,Thailand,34004887611.0
2019,Timor-Leste,4592774.0,Timor-Leste,5133332.0
2019,Togo,443931706.0,Togo,14421283.0
2019,Tokelau,158864.0,Tokelau,917699.0
2019,Tonga,16241488.0,Tonga,5720440.0
2019,Trinidad and Tobago,2596393244.0,Trinidad and Tobago,3504786433.0
2019,Tunisia,613567157.0,Tunisia,445255836.0
2019,Turkey,11201399138.0,Turkey,9521182682.0
2019,Turkmenistan,25692818.0,Turkmenistan,14967599.0
2019,Turks and Caicos Islands,200478709.0,Turks and Caicos Islands,2175578.0
2019,Tuvalu,789444.0,Tuvalu,117033.0
2019,Uganda,115552741.0,Uganda,56939931.0
2019,Ukraine,2231086261.0,Ukraine,1321199676.0
2019,United Arab Emirates,17766917469.0,United Arab Emirates,4759536195.0
2019,United Kingdom,48132268835.0,United Kingdom,62063633796.0
2019,Uruguay,950600985.0,Uruguay,476827558.0
2019,Uzbekistan,552727585.0,Uzbekistan,12223323.0
2019,Vanuatu,2756951.0,Vanuatu,6449476.0
2019,Venezuela,1227237627.0,Venezuela,2006578785.0
2019,Vietnam,11662816942.0,Vietnam,65512785406.0
2019,Wallis and Futuna,443399.0,Wallis and Futuna,43845.0
2019,Yemen,403409265.0,Yemen,4733750.0
2019,Zambia,157798607.0,Zambia,63148561.99999999
2019,Zimbabwe,53258519.0,Zimbabwe,44755945.0
2020,Afghanistan,602882905.0,Afghanistan,15233227.0
2020,Albania,75061837.0,Albania,47022391.0
2020,Algeria,705817183.0,Algeria,494313047.0
2020,Andorra,3617092.0,Andorra,5413495.0
2020,Angola,555054239.0,Angola,486024882.0
2020,Anguilla,41245960.0,Anguilla,1242383.0
2020,Antigua and Barbuda,268632344.0,Antigua and Barbuda,2684338.0
2020,Argentina,4781976024.0,Argentina,3557845460.0
2020,Armenia,67657895.0,Armenia,69138819.0
2020,Aruba,291259226.0,Aruba,4906037.0
2020,Australia,24597226239.0,Australia,13566093126.0
2020,Austria,4614942570.0,Austria,11002821276.0
2020,Azerbaijan,363532442.0,Azerbaijan,33143395.000000004
2020,Bahamas,2543239835.0,Bahamas,286906902.0
2020,Bahrain,861504139.0,Bahrain,778393136.0
2020,Bangladesh,1790733154.0,Bangladesh,6262581240.0
2020,Barbados,584308838.0,Barbados,54266316.0
2020,Belarus,384934268.0,Belarus,204578302.0
2020,Belgium,24895013884.0,Belgium,22297864958.0
