,Group,Sampled Products,url
143,Machinery and Electrical Equipment,Woodworking machines,https://upload.wikimedia.org/wikipedia/commons/4/44/Bandsaw_at_Lowes.jpg
144,Machinery and Electrical Equipment,Industrial Food Preperation Machinery,https://www.heatandcontrol.com/sites/default/files/content/taxonomy/product_type/2022-03/food-processing-overview.jpg
145,Machinery and Electrical Equipment,Liquid Pumps,https://upload.wikimedia.org/wikipedia/commons/f/f5/Airliftpump1.PNG
146,Machinery and Electrical Equipment,Looms,https://upload.wikimedia.org/wikipedia/commons/0/02/TM158_Strong_Calico_Loom_with_Planed_Framing_and_Catlow%27s_Patent_Dobby.png
147,Machinery and Electrical Equipment,Pulley Systems,https://upload.wikimedia.org/wikipedia/commons/b/be/Flachriemen.png
148,Transportation Equipment,Work Trucks,https://upload.wikimedia.org/wikipedia/commons/b/b3/2022_Chevrolet_Silverado_2500HD_High_Country%2C_Front_Left%2C_11-21-2021.jpg
149,Transportation Equipment,Railway Cargo Containers,https://upload.wikimedia.org/wikipedia/commons/e/e5/DTTX_724681_20050529_IL_Rochelle.jpg
150,Transportation Equipment,Non-powered Aircraft,https://upload.wikimedia.org/wikipedia/commons/c/ca/Cessna_172S_Skyhawk_%E2%80%98G-JMKE%E2%80%99_%2845077563364%29.jpg
151,Transportation Equipment,Aircraft Parts,https://upload.wikimedia.org/wikipedia/commons/3/30/A321_final_assembly_%289351765668%29.jpg
152,Transportation Equipment,Bi-Wheel Vehicle Parts,https://upload.wikimedia.org/wikipedia/commons/8/82/2018_Audi_A6_Sport_40_TDi_S-A_2.0.jpg
153,Transportation Equipment,Parachutes,https://upload.wikimedia.org/wikipedia/commons/2/21/Alexsomers.jpg
154,Transportation Equipment,Special purpose motor vehicles,https://upload.wikimedia.org/wikipedia/commons/9/9e/DR_trucks_on_Frue_Plads.jpg
155,Transportation Equipment,Railway Maintenance Vehicles,https://upload.wikimedia.org/wikipedia/commons/6/6d/Amtrak_Catenary_Maintenance_Vehicle_%284982606318%29.jpg
156,Transportation Equipment,Self-Propelled Rail Transport,https://upload.wikimedia.org/wikipedia/commons/c/c0/Blenkinsop%27s_rack_locomotive%2C_1812_%28British_Railway_Locomotives_1803-1853%29.jpg
157,Transportation Equipment,Delivery Trucks,https://upload.wikimedia.org/wikipedia/commons/f/f7/Manila_Philippines_Pizza-Taxi-in-Makati-Business-District-01.jpg
159,Instruments,Oscilloscopes,https://upload.wikimedia.org/wikipedia/commons/f/f9/Digitaloszilloskop_IMGP1971_WP.jpg
160,Instruments,Percussion,https://upload.wikimedia.org/wikipedia/commons/0/0d/Vibrafono2.jpg
161,Instruments,Image Projectors,https://upload.wikimedia.org/wikipedia/commons/e/ee/Kalht_01.jpg
162,Instruments,String Instruments,https://upload.wikimedia.org/wikipedia/commons/8/8b/20131205_Istanbul_321_cropped.jpg
163,Instruments,Precious Metal Watches,https://upload.wikimedia.org/wikipedia/commons/c/cc/Ladies_pendant_watch.jpg
164,Instruments,Time Switches,https://upload.wikimedia.org/wikipedia/commons/8/8b/2010-07-20_Black_windup_alarm_clock_face.jpg
165,Instruments,Photocopiers,https://upload.wikimedia.org/wikipedia/commons/e/e9/Copyrightpirates.jpg
166,Instruments,Balances,https://upload.wikimedia.org/wikipedia/commons/5/59/Analytical_balance_mettler_ae-260.jpg
167,Instruments,Instructional Models,https://upload.wikimedia.org/wikipedia/commons/b/bb/Why_I_Flipped_My_High_School.webm
158,Instruments,Revolution Counters,https://upload.wikimedia.org/wikipedia/commons/4/4d/Revolution_of_1895_%E2%80%93_Watching_the_Battle_of_Kamoiliili_from_the_tower_of_the_Executive_Building_%28PP-53-3-004%29.jpg
168,Weapons,Handguns,https://upload.wikimedia.org/wikipedia/commons/8/84/Tom_500_nightfiring.jpg
169,Weapons,Military Weapons,https://upload.wikimedia.org/wikipedia/commons/1/1b/Mercedes_Benz_Unimog_Turkey_exhibition_side.JPG
170,Weapons,Weapons Parts ,https://upload.wikimedia.org/wikipedia/commons/0/0d/Musee-historique-lausanne-img_0086.jpg
171,Weapons,Bladed Weapons,https://upload.wikimedia.org/wikipedia/commons/9/9b/Terry_Lim%27s_Kali_Seminar_with_Maurice_Ruiz_and_Ben_Poon.jpg
172,Weapons,Explosive Ammunition,https://upload.wikimedia.org/wikipedia/commons/7/7c/A_close_up_of_0.50_Caliber_%2812.7_mm%29_Browning_Ball_M33_Ammunition_loaded_onto_a_Browning_M2_HB_0.50_caliber_heavy_machine.JPEG
173,Weapons,Bullets,https://upload.wikimedia.org/wikipedia/commons/1/14/GP11_coupe.JPG
